timestamp,src_ip,dst_ip,selected_path,throughput_mbps,delay_ms,loss_pct,exec_time_ms,path_changed,topsis_scores
1779886898.8835647,10.0.0.1,10.0.0.11,"[1, 2, 3, 4, 5, 6]",15.0,29.5641,0.0,0.0935,0,
1779886898.8851159,10.0.0.1,10.0.0.11,"[2, 3, 4, 5, 6]",15.0,23.239,0.0,0.0236,1,
1779886898.887475,10.0.0.1,10.0.0.11,"[3, 4, 5, 6]",15.0,16.6955,0.0,0.0231,1,
1779886898.8891864,10.0.0.1,10.0.0.11,"[4, 5, 6]",15.0,12.1476,0.0,0.0155,1,
1779886898.8907685,10.0.0.1,10.0.0.11,"[5, 6]",15.0,5.7397,0.0,0.0107,1,
1779886898.8952556,10.0.0.11,10.0.0.1,"[6, 5, 4, 3, 2, 1]",15.0,30.8473,0.0,0.0346,0,
1779886898.897228,10.0.0.11,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,23.804,0.0,0.0324,1,
1779886898.8990076,10.0.0.11,10.0.0.1,"[4, 3, 2, 1]",15.0,17.5991,0.0,0.0219,1,
1779886898.9004884,10.0.0.11,10.0.0.1,"[3, 2, 1]",15.0,12.8678,0.0,0.0126,1,
1779886898.9015963,10.0.0.11,10.0.0.1,"[2, 1]",15.0,6.5077,0.0,0.0098,1,
1779886898.9077709,10.0.0.1,10.0.0.12,"[1, 2, 3, 4, 5, 6]",15.0,29.5641,0.0,0.0327,0,
1779886898.910068,10.0.0.1,10.0.0.12,"[2, 3, 4, 5, 6]",15.0,23.239,0.0,0.0403,1,
1779886898.9116657,10.0.0.1,10.0.0.12,"[3, 4, 5, 6]",15.0,16.6955,0.0,0.0155,1,
1779886898.912614,10.0.0.1,10.0.0.12,"[4, 5, 6]",15.0,12.1476,0.0,0.01,1,
1779886898.914112,10.0.0.1,10.0.0.12,"[5, 6]",15.0,5.7397,0.0,0.0095,1,
1779886898.916458,10.0.0.12,10.0.0.1,"[6, 5, 4, 3, 2, 1]",15.0,30.8473,0.0,0.02,0,
1779886898.9173527,10.0.0.12,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,23.804,0.0,0.016,1,
1779886898.920591,10.0.0.12,10.0.0.1,"[4, 3, 2, 1]",15.0,17.5991,0.0,0.071,1,
1779886898.923149,10.0.0.12,10.0.0.1,"[3, 2, 1]",15.0,12.8678,0.0,0.0236,1,
1779886898.924366,10.0.0.12,10.0.0.1,"[2, 1]",15.0,6.5077,0.0,0.0148,1,
1779886898.9285662,10.0.0.1,10.0.0.13,"[1, 2, 3, 4, 5, 6]",15.0,29.5641,0.0,0.0277,0,
1779886898.9301639,10.0.0.1,10.0.0.13,"[2, 3, 4, 5, 6]",15.0,23.239,0.0,0.0215,1,
1779886898.9317973,10.0.0.1,10.0.0.13,"[3, 4, 5, 6]",15.0,16.6955,0.0,0.0234,1,
1779886898.935536,10.0.0.1,10.0.0.13,"[4, 5, 6]",15.0,12.1476,0.0,0.0322,1,
1779886898.938226,10.0.0.1,10.0.0.13,"[5, 6]",15.0,5.7397,0.0,0.0236,1,
1779886898.941515,10.0.0.13,10.0.0.1,"[6, 5, 4, 3, 2, 1]",15.0,30.8473,0.0,0.0272,0,
1779886898.9425244,10.0.0.13,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,23.804,0.0,0.0188,1,
1779886898.943778,10.0.0.13,10.0.0.1,"[4, 3, 2, 1]",15.0,17.5991,0.0,0.0145,1,
1779886898.946295,10.0.0.13,10.0.0.1,"[3, 2, 1]",15.0,12.8678,0.0,0.0284,1,
1779886898.9479265,10.0.0.13,10.0.0.1,"[2, 1]",15.0,6.5077,0.0,0.0198,1,
1779886898.9527268,10.0.0.1,10.0.0.14,"[1, 2, 3, 4, 5, 6]",15.0,29.5641,0.0,0.0305,0,
1779886898.9539344,10.0.0.1,10.0.0.14,"[2, 3, 4, 5, 6]",15.0,23.239,0.0,0.0186,1,
1779886898.9554353,10.0.0.1,10.0.0.14,"[3, 4, 5, 6]",15.0,16.6955,0.0,0.0176,1,
