timestamp,src_ip,dst_ip,selected_path,throughput_mbps,delay_ms,loss_pct,exec_time_ms,path_changed,topsis_scores
1779887938.140256,10.0.0.1,10.0.0.11,"[1, 2, 3, 4, 5, 6]",14.9998,37.2321,0.0,19.6588,0,
1779887938.1427886,10.0.0.1,10.0.0.11,"[2, 3, 4, 5, 6]",14.9998,29.468,0.0,0.2472,1,
1779887938.1488152,10.0.0.1,10.0.0.11,"[3, 4, 5, 6]",14.9998,21.3635,0.0,0.2134,1,
1779887938.150564,10.0.0.1,10.0.0.11,"[4, 5, 6]",14.9998,15.4052,0.0,0.1273,1,
1779887938.1521266,10.0.0.1,10.0.0.11,"[5, 6]",14.9998,6.922,0.0,0.0966,1,
1779887938.1570892,10.0.0.11,10.0.0.1,"[6, 5, 4, 3, 2, 1]",15.0,37.092,0.0,0.2491,0,
1779887938.159235,10.0.0.11,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.1934,1,
1779887938.160776,10.0.0.11,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.1628,1,
1779887938.162396,10.0.0.11,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.1221,1,
1779887938.1634045,10.0.0.11,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0913,1,
1779887938.1679323,10.0.0.1,10.0.0.12,"[1, 2, 3, 4, 5, 6]",14.9998,37.2321,0.0,0.0021,0,
1779887938.1702468,10.0.0.1,10.0.0.12,"[2, 3, 4, 5, 6]",14.9998,29.468,0.0,0.0017,1,
1779887938.1716404,10.0.0.1,10.0.0.12,"[3, 4, 5, 6]",14.9998,21.3635,0.0,0.0012,1,
1779887938.1729636,10.0.0.1,10.0.0.12,"[4, 5, 6]",14.9998,15.4052,0.0,0.0012,1,
1779887938.1747136,10.0.0.1,10.0.0.12,"[5, 6]",14.9998,6.922,0.0,0.0019,1,
1779887938.1770952,10.0.0.12,10.0.0.1,"[6, 5, 4, 3, 2, 1]",15.0,37.092,0.0,0.0019,0,
1779887938.1780765,10.0.0.12,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0012,1,
1779887938.1794078,10.0.0.12,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0014,1,
1779887938.181001,10.0.0.12,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0019,1,
1779887938.1819727,10.0.0.12,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0014,1,
1779887938.1862185,10.0.0.1,10.0.0.13,"[1, 2, 3, 4, 5, 6]",14.9998,37.2321,0.0,0.0026,0,
1779887938.1878495,10.0.0.1,10.0.0.13,"[2, 3, 4, 5, 6]",14.9998,29.468,0.0,0.0026,1,
1779887938.1900237,10.0.0.1,10.0.0.13,"[3, 4, 5, 6]",14.9998,21.3635,0.0,0.0019,1,
1779887938.192083,10.0.0.1,10.0.0.13,"[4, 5, 6]",14.9998,15.4052,0.0,0.0021,1,
1779887938.1962888,10.0.0.1,10.0.0.13,"[5, 6]",14.9998,6.922,0.0,0.0031,1,
1779887938.2011685,10.0.0.13,10.0.0.1,"[6, 5, 4, 3, 2, 1]",15.0,37.092,0.0,0.0021,0,
1779887938.2030656,10.0.0.13,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0019,1,
1779887938.2043893,10.0.0.13,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0012,1,
1779887938.2061634,10.0.0.13,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0014,1,
1779887938.2084167,10.0.0.13,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0021,1,
1779887938.214588,10.0.0.1,10.0.0.14,"[1, 2, 3, 4, 5, 6]",14.9998,37.2321,0.0,0.0026,0,
1779887938.2160876,10.0.0.1,10.0.0.14,"[2, 3, 4, 5, 6]",14.9998,29.468,0.0,0.0024,1,
