timestamp,src_ip,dst_ip,selected_path,throughput_mbps,delay_ms,loss_pct,exec_time_ms,path_changed,topsis_scores
1779880890.893225,10.0.0.1,10.0.0.11,"[1, 2, 3, 4, 5, 6]",14.9998,34.473,0.0,1.2317,0,1.0000|0.2637|0.0000
1779880890.896191,10.0.0.1,10.0.0.11,"[2, 3, 4, 5, 6]",14.9998,27.1637,0.0,0.7706,1,1.0000|0.4746|0.0000
1779880890.8995223,10.0.0.1,10.0.0.11,"[3, 4, 5, 6]",14.9998,19.8541,0.0,0.6604,1,1.0000|0.4746|0.0000
1779880890.9022048,10.0.0.1,10.0.0.11,"[4, 5, 6]",15.0,14.1659,0.0,0.6058,1,1.0000|0.3507|0.0000
1779880890.9052186,10.0.0.1,10.0.0.11,"[5, 6]",15.0,5.9328,0.0,0.4265,1,1.0000|0.6217|0.0000
1779880890.9096038,10.0.0.11,10.0.0.1,"[6, 5, 4, 3, 2, 1]",14.9998,34.2337,0.0,0.9401,0,1.0000|0.2638|0.0000
1779880890.9143724,10.0.0.11,10.0.0.1,"[5, 4, 3, 2, 1]",14.9998,28.2254,0.0,0.9966,1,1.0000|0.2638|0.0000
1779880890.9177825,10.0.0.11,10.0.0.1,"[4, 3, 2, 1]",14.9998,20.2165,0.0,0.8168,1,1.0000|0.2638|0.0000
1779880890.9217243,10.0.0.11,10.0.0.1,"[3, 2, 1]",14.9998,14.644,0.0,0.6242,1,1.0000|0.0880|0.0000
1779880890.923524,10.0.0.11,10.0.0.1,"[2, 1]",15.0,7.2187,0.0,0.392,1,1.0000|0.5399|0.0000
1779880890.9300573,10.0.0.1,10.0.0.12,"[1, 2, 3, 4, 5, 6]",14.9998,34.473,0.0,0.2992,0,1.0000|0.2637|0.0000
1779880890.9321887,10.0.0.1,10.0.0.12,"[2, 3, 4, 5, 6]",14.9998,27.1637,0.0,0.2429,1,1.0000|0.4746|0.0000
1779880890.9339094,10.0.0.1,10.0.0.12,"[3, 4, 5, 6]",14.9998,19.8541,0.0,0.1714,1,1.0000|0.4746|0.0000
1779880890.935849,10.0.0.1,10.0.0.12,"[4, 5, 6]",15.0,14.1659,0.0,0.5169,1,1.0000|0.3507|0.0000
1779880890.9390695,10.0.0.1,10.0.0.12,"[5, 6]",15.0,5.9328,0.0,0.4001,1,1.0000|0.6217|0.0000
1779880890.9436448,10.0.0.12,10.0.0.1,"[6, 5, 4, 3, 2, 1]",14.9998,34.2337,0.0,0.2568,0,1.0000|0.2638|0.0000
1779880890.9448714,10.0.0.12,10.0.0.1,"[5, 4, 3, 2, 1]",14.9998,28.2254,0.0,0.1812,1,1.0000|0.2638|0.0000
1779880890.9469929,10.0.0.12,10.0.0.1,"[4, 3, 2, 1]",14.9998,20.2165,0.0,0.2625,1,1.0000|0.2638|0.0000
1779880890.9490995,10.0.0.12,10.0.0.1,"[3, 2, 1]",14.9998,14.644,0.0,0.1876,1,1.0000|0.0880|0.0000
1779880890.9502177,10.0.0.12,10.0.0.1,"[2, 1]",15.0,7.2187,0.0,0.1559,1,1.0000|0.5399|0.0000
1779880890.9580762,10.0.0.1,10.0.0.13,"[1, 2, 3, 4, 5, 6]",14.9998,34.473,0.0,0.325,0,1.0000|0.2637|0.0000
1779880890.9599462,10.0.0.1,10.0.0.13,"[2, 3, 4, 5, 6]",14.9998,27.1637,0.0,0.2139,1,1.0000|0.4746|0.0000
1779880890.9615555,10.0.0.1,10.0.0.13,"[3, 4, 5, 6]",14.9998,19.8541,0.0,0.1912,1,1.0000|0.4746|0.0000
1779880890.9635272,10.0.0.1,10.0.0.13,"[4, 5, 6]",15.0,14.1659,0.0,0.2074,1,1.0000|0.3507|0.0000
1779880890.966431,10.0.0.1,10.0.0.13,"[5, 6]",15.0,5.9328,0.0,0.3188,1,1.0000|0.6217|0.0000
1779880890.974918,10.0.0.13,10.0.0.1,"[6, 5, 4, 3, 2, 1]",14.9998,34.2337,0.0,0.3235,0,1.0000|0.2638|0.0000
1779880890.9785073,10.0.0.13,10.0.0.1,"[5, 4, 3, 2, 1]",14.9998,28.2254,0.0,0.5629,1,1.0000|0.2638|0.0000
1779880890.9821837,10.0.0.13,10.0.0.1,"[4, 3, 2, 1]",14.9998,20.2165,0.0,0.277,1,1.0000|0.2638|0.0000
1779880890.9845037,10.0.0.13,10.0.0.1,"[3, 2, 1]",14.9998,14.644,0.0,0.206,1,1.0000|0.0880|0.0000
1779880890.9856987,10.0.0.13,10.0.0.1,"[2, 1]",15.0,7.2187,0.0,0.1879,1,1.0000|0.5399|0.0000
1779880890.9913592,10.0.0.1,10.0.0.14,"[1, 2, 3, 4, 5, 6]",14.9998,34.473,0.0,0.3145,0,1.0000|0.2637|0.0000
1779880890.9937172,10.0.0.1,10.0.0.14,"[2, 3, 4, 5, 6]",14.9998,27.1637,0.0,0.248,1,1.0000|0.4746|0.0000
1779880890.9954512,10.0.0.1,10.0.0.14,"[3, 4, 5, 6]",14.9998,19.8541,0.0,0.181,1,1.0000|0.4746|0.0000
1779880890.9977808,10.0.0.1,10.0.0.14,"[4, 5, 6]",15.0,14.1659,0.0,1.2727,1,1.0000|0.3507|0.0000
1779880890.9995973,10.0.0.1,10.0.0.14,"[5, 6]",15.0,5.9328,0.0,0.1845,1,1.0000|0.6217|0.0000
1779880891.0032742,10.0.0.14,10.0.0.1,"[6, 5, 4, 3, 2, 1]",14.9998,34.2337,0.0,0.2,0,1.0000|0.2638|0.0000
1779880891.0048666,10.0.0.14,10.0.0.1,"[5, 4, 3, 2, 1]",14.9998,28.2254,0.0,0.2141,1,1.0000|0.2638|0.0000
1779880891.0067418,10.0.0.14,10.0.0.1,"[4, 3, 2, 1]",14.9998,20.2165,0.0,0.1841,1,1.0000|0.2638|0.0000
1779880891.0096288,10.0.0.14,10.0.0.1,"[3, 2, 1]",14.9998,14.644,0.0,0.2091,1,1.0000|0.0880|0.0000
1779880891.0107954,10.0.0.14,10.0.0.1,"[2, 1]",15.0,7.2187,0.0,0.1581,1,1.0000|0.5399|0.0000
1779880891.014963,10.0.0.1,10.0.0.15,"[1, 2, 3, 4, 5, 6]",14.9998,34.473,0.0,0.2294,0,1.0000|0.2637|0.0000
1779880891.0162122,10.0.0.1,10.0.0.15,"[2, 3, 4, 5, 6]",14.9998,27.1637,0.0,0.1647,1,1.0000|0.4746|0.0000
1779880891.0195842,10.0.0.1,10.0.0.15,"[3, 4, 5, 6]",14.9998,19.8541,0.0,1.5135,1,1.0000|0.4746|0.0000
1779880891.0225682,10.0.0.1,10.0.0.15,"[4, 5, 6]",15.0,14.1659,0.0,0.3004,1,1.0000|0.3507|0.0000
1779880891.027256,10.0.0.1,10.0.0.15,"[5, 6]",15.0,5.9328,0.0,0.3018,1,1.0000|0.6217|0.0000
